age;job;marital;education;default;balance;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;deposit
56;housemaid;married;basic.4y;no;2343;no;no;telephone;may;mon;261;1;-1;0;nonexistent;no
57;services;married;high.school;unknown;45;no;no;telephone;may;mon;149;1;-1;0;nonexistent;no
37;services;married;high.school;no;1270;yes;no;telephone;may;mon;226;1;-1;0;nonexistent;no
40;admin.;married;basic.6y;no;2476;no;no;telephone;may;mon;151;1;-1;0;nonexistent;no
56;services;married;high.school;no;184;no;yes;telephone;may;mon;307;1;-1;0;nonexistent;no
45;services;married;basic.9y;unknown;0;no;no;telephone;may;mon;198;1;-1;0;nonexistent;no
59;admin.;married;professional.course;no;830;no;no;telephone;may;mon;139;1;-1;0;nonexistent;no
41;blue-collar;married;unknown;unknown;545;no;no;telephone;may;mon;217;1;-1;0;nonexistent;no
24;technician;single;professional.course;no;1;yes;no;telephone;may;mon;380;1;-1;0;nonexistent;no
25;services;single;high.school;no;5090;yes;no;telephone;may;mon;50;1;-1;0;nonexistent;no
41;blue-collar;married;unknown;unknown;100;no;no;telephone;may;mon;55;1;-1;0;nonexistent;no
25;services;single;high.school;no;309;yes;no;telephone;may;mon;222;1;-1;0;nonexistent;no
29;blue-collar;single;high.school;no;199;no;yes;telephone;may;mon;137;1;-1;0;nonexistent;no
57;housemaid;divorced;basic.4y;no;460;yes;no;telephone;may;mon;293;1;-1;0;nonexistent;no
35;blue-collar;married;basic.6y;no;703;yes;no;telephone;may;mon;146;1;-1;0;nonexistent;no
54;retired;married;basic.9y;unknown;3837;yes;yes;telephone;may;mon;174;1;-1;0;nonexistent;no
35;blue-collar;married;basic.6y;no;611;yes;no;telephone;may;mon;312;1;-1;0;nonexistent;no
46;blue-collar;married;basic.6y;unknown;-8;yes;yes;telephone;may;mon;440;1;-1;0;nonexistent;no
50;blue-collar;married;basic.9y;no;55;yes;yes;telephone;may;mon;353;1;-1;0;nonexistent;no
39;management;single;basic.9y;unknown;168;no;no;telephone;may;mon;195;1;-1;0;nonexistent;no
30;unemployed;married;high.school;no;785;no;no;telephone;may;mon;38;1;-1;0;nonexistent;no
55;blue-collar;married;basic.4y;unknown;2067;yes;no;telephone;may;mon;262;1;-1;0;nonexistent;no
55;retired;single;high.school;no;388;yes;no;telephone;may;mon;342;1;-1;0;nonexistent;no
41;technician;single;high.school;no;-192;yes;no;telephone;may;mon;181;1;-1;0;nonexistent;no
37;admin.;married;high.school;no;381;yes;no;telephone;may;mon;172;1;-1;0;nonexistent;no
35;technician;married;university.degree;no;40;no;yes;telephone;may;mon;99;1;-1;0;nonexistent;no
59;technician;married;unknown;no;22;yes;no;telephone;may;mon;93;1;-1;0;nonexistent;no
39;self-employed;married;basic.9y;unknown;3;no;no;telephone;may;mon;233;1;-1;0;nonexistent;no
54;technician;single;university.degree;unknown;307;no;no;telephone;may;mon;255;2;-1;0;nonexistent;no
55;unknown;married;university.degree;unknown;759;unknown;unknown;telephone;may;mon;362;1;-1;0;nonexistent;no
46;admin.;married;unknown;no;-1;no;no;telephone;may;mon;348;1;-1;0;nonexistent;no
59;technician;married;unknown;no;65;yes;no;telephone;may;mon;386;1;-1;0;nonexistent;no
49;blue-collar;married;unknown;no;82;no;no;telephone;may;mon;73;1;-1;0;nonexistent;no
54;management;married;basic.4y;unknown;10;yes;no;telephone;may;mon;230;1;-1;0;nonexistent;no
54;blue-collar;divorced;basic.4y;no;390;no;no;telephone;may;mon;208;1;-1;0;nonexistent;no
55;unknown;married;basic.4y;unknown;311;yes;no;telephone;may;mon;336;1;-1;0;nonexistent;no
34;services;married;high.school;no;414;no;no;telephone;may;mon;365;1;-1;0;nonexistent;no
52;technician;married;basic.9y;no;5;yes;no;telephone;may;mon;1666;1;-1;0;nonexistent;no
41;admin.;married;university.degree;no;119;yes;no;telephone;may;mon;577;1;-1;0;nonexistent;no
56;technician;married;basic.4y;no;4;yes;no;telephone;may;mon;137;1;-1;0;nonexistent;no
58;management;unknown;university.degree;no;1262;yes;no;telephone;may;mon;366;1;-1;0;nonexistent;no
32;entrepreneur;married;high.school;no;1949;yes;no;telephone;may;mon;314;1;-1;0;nonexistent;no
